职位,薪水,关键词,经验,学历,工作地址,公司,公司情况
电商运营主管,8000-15000元,"电商运营
新媒体运营
销售运营
抖音
快手
小红书
淘宝
拼多多
京东",3-5年,大专,天津·西青·大寺,马氏温灸(天津)医药技术有限公司,"民营
         
          20人以下
         
          卫生服务"
时间自由日结300一天包车住骑手,6000-9000元,会骑电动车,经验不限,学历不限,长沙·岳麓·望城坡,长沙团美配送有限公司,"民营
         
          100-299人
         
          居民服务"
景观/室内(设计师/助理)环艺专业,5000-8000元,"方案设计
效果图设计",经验不限,本科,南京·浦口·顶山,宿城区灵感设计工作室(个体工商户),"20人以下
         
          装饰装修"
招商经理,1-1.2万,,3-5年,本科,万宁·万城镇,琼海市富海园区投资有限公司,"20-99人
         
          房地产开发"
财务经理,2-3万,"财务分析
审计
风险控制
上市企业
投融资项目
CPA中国注册会计师",3-5年,本科,北京·东城·东华门,北京福石控股发展股份有限公司,"上市公司
         
          1000-9999人
         
          广告/营销"
高日结300元，下班即结，提供车住，适合学生兼职+可兼职日结可全职/+骑手/超市驻店/配送员/送餐员。,8000-10000元·13薪,"家附近3公里配送
提供车住
全职兼职均可
日入500
时间自由
人走账清
保底8000
日结工资
包住
可预支薪水
高温补贴
底薪加提成
节日福利",经验不限,学历不限,佛山·三水·乐平,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
车信贷商务经理,9000-13000元·14薪,,3-5年,大专,杭州·拱墅·祥符,杭州瑞路实业有限公司,"民营
         
          20-99人
         
          汽车研发/制造"
美团直招骑手可日结/有车电住宿,6000-7000元,"公司提供电动车/摩托车
自带电动车/摩托车
食品健康证
餐饮外卖
会骑电动车
熟练使用导航
无犯罪记录",经验不限,学历不限,齐齐哈尔·建华区·西大桥街道,鑫俊达(沈阳)物流管理有限公司,"民营
         
          500-999人
         
          货运/物流/仓储"
文旅行政人事经理,5000-7000元,"绩效管理
薪酬福利
HRBP
行政人事主管/经理",3-5年,本科,南昌·进贤·二塘,江西聚仁堂实业发展集团有限公司,"民营
         
          1000-9999人
         
          房地产开发"
底薪8000起急招开车司机,9000-12000元,"C1
驾龄三年以上",3-5年,学历不限,深圳·龙岗·吉华,佛山市晨飞汽车租赁有限公司,"100-299人
         
          汽车智能互联"
接听客服 双休五险一金,5000-7000元·13薪,"售前客服
电话客服
售后客服",经验不限,大专,成都·武侯·桂溪,成都微招网络科技有限公司,"民营
         
          100-299人
         
          人力资源服务"
卡旺卡奶茶店员（安徽就近安排）,4000-8000元,"加班补贴
节日福利",经验不限,大专,合肥·包河·望湖,四川新南泰企业管理咨询有限公司,"民营
         
          300-499人
         
          人力资源服务"
财务管理员,3000-5000元,"财务分析
应收应付
预算
风控
上市企业
集团公司
会计初级职称",1-3年,本科,昆明·呈贡·洛羊,一心堂药业集团股份有限公司,"上市公司
         
          10000人以上
         
          零售/批发"
主管助理（包住+双休）,5000-10000元,"卫生管理
销售管理",经验不限,中专/中技,佛山·禅城·祖庙,佛山市明堂医疗科技有限公司,"民营
         
          20-99人
         
          医疗设备/器械"
无经验要求—接受—7500/月—双休+年假+可预支+带手机】,8000-13000元·13薪,"生产设备
电气设备
机电设备",经验不限,学历不限,蚌埠·五河县,四川沁博企业管理有限公司,"民营
         
          300-499人
         
          电子设备制造"
哈市普工日薪204/天，辅助机器供食宿,6000-7000元,"厂内食堂
恒温车间
做六休一
两班倒
月休四天
日结
组装工",经验不限,学历不限,哈尔滨·平房·兴建,吉林省吉信人力资源有限责任公司,"500-999人
         
          汽车零部件"
外贸业务员,6000-7000元,"欧美区域
迪拜",1-3年,本科,苏州·工业园区,苏州飞行者医疗科技有限公司,"民营
         
          20-99人
         
          医疗设备/器械"
电气设备销售经理,6000-12000元,"企业客户
KA大客户",5-10年,大专,天津·滨海新区·大沽,赛恩思电气技术(天津)有限公司,"股份制企业
         
          20-99人
         
          电子设备制造"
新媒体运营（c端）,7000-9000元,"短视频平台
抖音
快手
微信视频号
医疗类
美妆类
短视频运营",3-5年,大专,武汉·江夏·豹澥,新北辰(湖北)生物科技集团有限公司,"民营
         
          20-99人
         
          生物工程"
招聘普工/操作工-五险一金-有餐补,5000-6000元,"社会保险
恒温车间
包住
月休四天
月结
包装工
操作工
组装工
身体健康",经验不限,学历不限,南宁·青秀·伶俐,广西喜达多人力资源管理有限公司,"其它
         
          500-999人
         
          人力资源服务"
电商运营主管,8000-15000元,"电商运营
新媒体运营
销售运营
抖音
快手
小红书
淘宝
拼多多
京东",3-5年,大专,天津·西青·大寺,马氏温灸(天津)医药技术有限公司,"民营
         
          20人以下
         
          卫生服务"
时间自由日结300一天包车住骑手,6000-9000元,会骑电动车,经验不限,学历不限,长沙·岳麓·望城坡,长沙团美配送有限公司,"民营
         
          100-299人
         
          居民服务"
景观/室内(设计师/助理)环艺专业,5000-8000元,"方案设计
效果图设计",经验不限,本科,南京·浦口·顶山,宿城区灵感设计工作室(个体工商户),"20人以下
         
          装饰装修"
招商经理,1-1.2万,,3-5年,本科,万宁·万城镇,琼海市富海园区投资有限公司,"20-99人
         
          房地产开发"
财务经理,2-3万,"财务分析
审计
风险控制
上市企业
投融资项目
CPA中国注册会计师",3-5年,本科,北京·东城·东华门,北京福石控股发展股份有限公司,"上市公司
         
          1000-9999人
         
          广告/营销"
高日结300元，下班即结，提供车住，适合学生兼职+可兼职日结可全职/+骑手/超市驻店/配送员/送餐员。,8000-10000元·13薪,"家附近3公里配送
提供车住
全职兼职均可
日入500
时间自由
人走账清
保底8000
日结工资
包住
可预支薪水
高温补贴
底薪加提成
节日福利",经验不限,学历不限,佛山·三水·乐平,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
车信贷商务经理,9000-13000元·14薪,,3-5年,大专,杭州·拱墅·祥符,杭州瑞路实业有限公司,"民营
         
          20-99人
         
          汽车研发/制造"
美团直招骑手可日结/有车电住宿,6000-7000元,"公司提供电动车/摩托车
自带电动车/摩托车
食品健康证
餐饮外卖
会骑电动车
熟练使用导航
无犯罪记录",经验不限,学历不限,齐齐哈尔·建华区·西大桥街道,鑫俊达(沈阳)物流管理有限公司,"民营
         
          500-999人
         
          货运/物流/仓储"
文旅行政人事经理,5000-7000元,"绩效管理
薪酬福利
HRBP
行政人事主管/经理",3-5年,本科,南昌·进贤·二塘,江西聚仁堂实业发展集团有限公司,"民营
         
          1000-9999人
         
          房地产开发"
底薪8000起急招开车司机,9000-12000元,"C1
驾龄三年以上",3-5年,学历不限,深圳·龙岗·吉华,佛山市晨飞汽车租赁有限公司,"100-299人
         
          汽车智能互联"
接听客服 双休五险一金,5000-7000元·13薪,"售前客服
电话客服
售后客服",经验不限,大专,成都·武侯·桂溪,成都微招网络科技有限公司,"民营
         
          100-299人
         
          人力资源服务"
卡旺卡奶茶店员（安徽就近安排）,4000-8000元,"加班补贴
节日福利",经验不限,大专,合肥·包河·望湖,四川新南泰企业管理咨询有限公司,"民营
         
          300-499人
         
          人力资源服务"
财务管理员,3000-5000元,"财务分析
应收应付
预算
风控
上市企业
集团公司
会计初级职称",1-3年,本科,昆明·呈贡·洛羊,一心堂药业集团股份有限公司,"上市公司
         
          10000人以上
         
          零售/批发"
主管助理（包住+双休）,5000-10000元,"卫生管理
销售管理",经验不限,中专/中技,佛山·禅城·祖庙,佛山市明堂医疗科技有限公司,"民营
         
          20-99人
         
          医疗设备/器械"
无经验要求—接受—7500/月—双休+年假+可预支+带手机】,8000-13000元·13薪,"生产设备
电气设备
机电设备",经验不限,学历不限,蚌埠·五河县,四川沁博企业管理有限公司,"民营
         
          300-499人
         
          电子设备制造"
哈市普工日薪204/天，辅助机器供食宿,6000-7000元,"厂内食堂
恒温车间
做六休一
两班倒
月休四天
日结
组装工",经验不限,学历不限,哈尔滨·平房·兴建,吉林省吉信人力资源有限责任公司,"500-999人
         
          汽车零部件"
外贸业务员,6000-7000元,"欧美区域
迪拜",1-3年,本科,苏州·工业园区,苏州飞行者医疗科技有限公司,"民营
         
          20-99人
         
          医疗设备/器械"
电气设备销售经理,6000-12000元,"企业客户
KA大客户",5-10年,大专,天津·滨海新区·大沽,赛恩思电气技术(天津)有限公司,"股份制企业
         
          20-99人
         
          电子设备制造"
新媒体运营（c端）,7000-9000元,"短视频平台
抖音
快手
微信视频号
医疗类
美妆类
短视频运营",3-5年,大专,武汉·江夏·豹澥,新北辰(湖北)生物科技集团有限公司,"民营
         
          20-99人
         
          生物工程"
招聘普工/操作工-五险一金-有餐补,5000-6000元,"社会保险
恒温车间
包住
月休四天
月结
包装工
操作工
组装工
身体健康",经验不限,学历不限,南宁·青秀·伶俐,广西喜达多人力资源管理有限公司,"其它
         
          500-999人
         
          人力资源服务"
电商运营主管,8000-15000元,"电商运营
新媒体运营
销售运营
抖音
快手
小红书
淘宝
拼多多
京东",3-5年,大专,天津·西青·大寺,马氏温灸(天津)医药技术有限公司,"民营
         
          20人以下
         
          卫生服务"
时间自由日结300一天包车住骑手,6000-9000元,会骑电动车,经验不限,学历不限,长沙·岳麓·望城坡,长沙团美配送有限公司,"民营
         
          100-299人
         
          居民服务"
景观/室内(设计师/助理)环艺专业,5000-8000元,"方案设计
效果图设计",经验不限,本科,南京·浦口·顶山,宿城区灵感设计工作室(个体工商户),"20人以下
         
          装饰装修"
招商经理,1-1.2万,,3-5年,本科,万宁·万城镇,琼海市富海园区投资有限公司,"20-99人
         
          房地产开发"
财务经理,2-3万,"财务分析
审计
风险控制
上市企业
投融资项目
CPA中国注册会计师",3-5年,本科,北京·东城·东华门,北京福石控股发展股份有限公司,"上市公司
         
          1000-9999人
         
          广告/营销"
高日结300元，下班即结，提供车住，适合学生兼职+可兼职日结可全职/+骑手/超市驻店/配送员/送餐员。,8000-10000元·13薪,"家附近3公里配送
提供车住
全职兼职均可
日入500
时间自由
人走账清
保底8000
日结工资
包住
可预支薪水
高温补贴
底薪加提成
节日福利",经验不限,学历不限,佛山·三水·乐平,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
车信贷商务经理,9000-13000元·14薪,,3-5年,大专,杭州·拱墅·祥符,杭州瑞路实业有限公司,"民营
         
          20-99人
         
          汽车研发/制造"
美团直招骑手可日结/有车电住宿,6000-7000元,"公司提供电动车/摩托车
自带电动车/摩托车
食品健康证
餐饮外卖
会骑电动车
熟练使用导航
无犯罪记录",经验不限,学历不限,齐齐哈尔·建华区·西大桥街道,鑫俊达(沈阳)物流管理有限公司,"民营
         
          500-999人
         
          货运/物流/仓储"
文旅行政人事经理,5000-7000元,"绩效管理
薪酬福利
HRBP
行政人事主管/经理",3-5年,本科,南昌·进贤·二塘,江西聚仁堂实业发展集团有限公司,"民营
         
          1000-9999人
         
          房地产开发"
底薪8000起急招开车司机,9000-12000元,"C1
驾龄三年以上",3-5年,学历不限,深圳·龙岗·吉华,佛山市晨飞汽车租赁有限公司,"100-299人
         
          汽车智能互联"
接听客服 双休五险一金,5000-7000元·13薪,"售前客服
电话客服
售后客服",经验不限,大专,成都·武侯·桂溪,成都微招网络科技有限公司,"民营
         
          100-299人
         
          人力资源服务"
卡旺卡奶茶店员（安徽就近安排）,4000-8000元,"加班补贴
节日福利",经验不限,大专,合肥·包河·望湖,四川新南泰企业管理咨询有限公司,"民营
         
          300-499人
         
          人力资源服务"
财务管理员,3000-5000元,"财务分析
应收应付
预算
风控
上市企业
集团公司
会计初级职称",1-3年,本科,昆明·呈贡·洛羊,一心堂药业集团股份有限公司,"上市公司
         
          10000人以上
         
          零售/批发"
主管助理（包住+双休）,5000-10000元,"卫生管理
销售管理",经验不限,中专/中技,佛山·禅城·祖庙,佛山市明堂医疗科技有限公司,"民营
         
          20-99人
         
          医疗设备/器械"
无经验要求—接受—7500/月—双休+年假+可预支+带手机】,8000-13000元·13薪,"生产设备
电气设备
机电设备",经验不限,学历不限,蚌埠·五河县,四川沁博企业管理有限公司,"民营
         
          300-499人
         
          电子设备制造"
哈市普工日薪204/天，辅助机器供食宿,6000-7000元,"厂内食堂
恒温车间
做六休一
两班倒
月休四天
日结
组装工",经验不限,学历不限,哈尔滨·平房·兴建,吉林省吉信人力资源有限责任公司,"500-999人
         
          汽车零部件"
外贸业务员,6000-7000元,"欧美区域
迪拜",1-3年,本科,苏州·工业园区,苏州飞行者医疗科技有限公司,"民营
         
          20-99人
         
          医疗设备/器械"
电气设备销售经理,6000-12000元,"企业客户
KA大客户",5-10年,大专,天津·滨海新区·大沽,赛恩思电气技术(天津)有限公司,"股份制企业
         
          20-99人
         
          电子设备制造"
新媒体运营（c端）,7000-9000元,"短视频平台
抖音
快手
微信视频号
医疗类
美妆类
短视频运营",3-5年,大专,武汉·江夏·豹澥,新北辰(湖北)生物科技集团有限公司,"民营
         
          20-99人
         
          生物工程"
招聘普工/操作工-五险一金-有餐补,5000-6000元,"社会保险
恒温车间
包住
月休四天
月结
包装工
操作工
组装工
身体健康",经验不限,学历不限,南宁·青秀·伶俐,广西喜达多人力资源管理有限公司,"其它
         
          500-999人
         
          人力资源服务"
电商运营主管,8000-15000元,"电商运营
新媒体运营
销售运营
抖音
快手
小红书
淘宝
拼多多
京东",3-5年,大专,天津·西青·大寺,马氏温灸(天津)医药技术有限公司,"民营
         
          20人以下
         
          卫生服务"
时间自由日结300一天包车住骑手,6000-9000元,会骑电动车,经验不限,学历不限,长沙·岳麓·望城坡,长沙团美配送有限公司,"民营
         
          100-299人
         
          居民服务"
景观/室内(设计师/助理)环艺专业,5000-8000元,"方案设计
效果图设计",经验不限,本科,南京·浦口·顶山,宿城区灵感设计工作室(个体工商户),"20人以下
         
          装饰装修"
招商经理,1-1.2万,,3-5年,本科,万宁·万城镇,琼海市富海园区投资有限公司,"20-99人
         
          房地产开发"
财务经理,2-3万,"财务分析
审计
风险控制
上市企业
投融资项目
CPA中国注册会计师",3-5年,本科,北京·东城·东华门,北京福石控股发展股份有限公司,"上市公司
         
          1000-9999人
         
          广告/营销"
高日结300元，下班即结，提供车住，适合学生兼职+可兼职日结可全职/+骑手/超市驻店/配送员/送餐员。,8000-10000元·13薪,"家附近3公里配送
提供车住
全职兼职均可
日入500
时间自由
人走账清
保底8000
日结工资
包住
可预支薪水
高温补贴
底薪加提成
节日福利",经验不限,学历不限,佛山·三水·乐平,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
车信贷商务经理,9000-13000元·14薪,,3-5年,大专,杭州·拱墅·祥符,杭州瑞路实业有限公司,"民营
         
          20-99人
         
          汽车研发/制造"
美团直招骑手可日结/有车电住宿,6000-7000元,"公司提供电动车/摩托车
自带电动车/摩托车
食品健康证
餐饮外卖
会骑电动车
熟练使用导航
无犯罪记录",经验不限,学历不限,齐齐哈尔·建华区·西大桥街道,鑫俊达(沈阳)物流管理有限公司,"民营
         
          500-999人
         
          货运/物流/仓储"
,,,,,,,
